label_Framework,type_Framework,label_Objective,Flowerplot_connection,type_Objective,source,National_goal,GBF_target
Jordan Basin CO,Site-level Conservation Objectives,Protect cold-water corals,Uniqueness,Habitat,https://www.dfo-mpo.gc.ca/oceans/oecm-amcepz/refuges/jordan-eng.html,1,"1, 3"
Northeast Channel Coral CO,Site-level Conservation Objectives,Protect cold-water corals,Uniqueness,Habitat,https://www.dfo-mpo.gc.ca/oceans/oecm-amcepz/refuges/northeast-nordest-eng.html,1,"1, 3"
Western/Emerald Banks CO,Site-level Conservation Objectives,"Support productivity objectives for groundfish species of Aboriginal, commercial, and/or recreational importance, particularly NAFO Division 4VW haddock",Productivity,Productivity,https://www.dfo-mpo.gc.ca/oceans/oecm-amcepz/refuges/westernemerald-emeraudewestern-eng.html,2,"5, 9, 10,11"
Western/Emerald Banks CO,Site-level Conservation Objectives,Manage the disturbance of benthic habitat that supports juvenile and adult haddock and other groundfish species,Key Fish Habitat,Habitat,https://www.dfo-mpo.gc.ca/oceans/oecm-amcepz/refuges/westernemerald-emeraudewestern-eng.html,2,"3, 5, 9"
SAB CO,Site-level Conservation Objectives,"Conserve and protect all major benthic, demersal (i.e., close to the sea floor) and pelagic (i.e., in the water column) habitats within the MPA, along with their associated physical, chemical, geological and biological properties and processes",Habitat,Habitat,https://www.dfo-mpo.gc.ca/oceans/mpa-zpm/stanns-sainteanne/index-eng.html,2,3
SAB CO,Site-level Conservation Objectives,Conserve and protect biological productivity across all trophic levels so that they are able to fulfill their ecological role in the ecosystems of the MPA,Productivity,Productivity,https://www.dfo-mpo.gc.ca/oceans/mpa-zpm/stanns-sainteanne/index-eng.html,2,"3, 11"
SAB CO,Site-level Conservation Objectives,"Conserve and protect marine areas of high biodiversity at the community, species, population and genetic levels within the MPA",Biodiversity,Biodiversity,https://www.dfo-mpo.gc.ca/oceans/mpa-zpm/stanns-sainteanne/index-eng.html,2,"1, 3, 4"
SSBoF CO,Regional-level Conservation Objectives,"Protect unique, rare, or sensitive ecological features",Uniqueness,Habitat,https://www.dfo-mpo.gc.ca/oceans/networks-reseaux/scotian-shelf-plateau-neo-ecossais-bay-baie-fundy/development-developpement-eng.html,1,"1, 3"
SSBoF CO,Regional-level Conservation Objectives,Protect representative examples of identified ecosystem and habitat types,Habitat,Habitat,https://www.dfo-mpo.gc.ca/oceans/networks-reseaux/scotian-shelf-plateau-neo-ecossais-bay-baie-fundy/development-developpement-eng.html,1,3
SSBoF CO,Regional-level Conservation Objectives,"Help maintain ecosystem structure, functioning and resilience (including resilience to climate change)",Structure and Function,Productivity,https://www.dfo-mpo.gc.ca/oceans/networks-reseaux/scotian-shelf-plateau-neo-ecossais-bay-baie-fundy/development-developpement-eng.html,1,"11, 8"
SSBoF CO,Regional-level Conservation Objectives,Contribute to the recovery and conservation of depleted species,Species Diversity,Biodiversity,https://www.dfo-mpo.gc.ca/oceans/networks-reseaux/scotian-shelf-plateau-neo-ecossais-bay-baie-fundy/development-developpement-eng.html,2,"2, 4"
SSBoF CO,Regional-level Conservation Objectives,"Help maintain healthy populations of species of Aboriginal, commercial, and/or recreational importance",Productivity,Productivity,https://www.dfo-mpo.gc.ca/oceans/networks-reseaux/scotian-shelf-plateau-neo-ecossais-bay-baie-fundy/development-developpement-eng.html,2,"5, 9, 10"
EBM,General Framework,Control unintended incidental mortality for all species,,Biodiversity,Alida,2,"4, 9, 10"
EBM,General Framework,Distribute population component mortality in relation to component biomass,,Biodiversity,Alida,clarify,
EBM,General Framework,Minimize unintended introduction and transmission of invasive species,,Biodiversity,Alida,1,6
EBM,General Framework,Control introduction and proliferation of disease/pathogens,,Biodiversity,Alida,1,"5, 7"
EBM,General Framework,Minimize aquaculture escapes,,Biodiversity,Alida,1,10
EBM,General Framework,Maintain Species Biodiversity,,Biodiversity,Alida,2,"3, 4, 14"
EBM,General Framework,Maintain Functional Biodiversity,,Biodiversity,Alida,2,"3, 11, 14"
EBM,General Framework,Maintain Ecosystem Resistance,,Biodiversity,Alida,2,"1, 3, 14"
EBM,General Framework,Maintain Habitat Diversity,,Biodiversity,Alida,2,"1, 3, 14"
EBM,General Framework,Keep fishing and other forms of mortality moderate,,Productivity,Alida,1,"5, 9, 10"
EBM,General Framework,Allow sufficient escapement from exploitation for spawning,,Productivity,Alida,clarify,
EBM,General Framework,Limit disturbing activity in important reproductive areas/seasons,,Productivity,Alida,1,"4, 9, 10 "
EBM,General Framework,Control alteration of nutrient concentrations affecting primary production,,Productivity,Alida,1,7
EBM,General Framework,Maintain/promote ecosystem structure and functioning,,Productivity,Alida,2,"3, 11"
EBM,General Framework,"Habitat required for all species, particularly priority species, is maintained and protected",,Habitat,Alida,2,"1, 3"
EBM,General Framework,Fish habitat that has been degraded is restored,,Habitat,Alida,2,"1, 2 "
EBM,General Framework,Pollution is prevented and reduced,,Habitat,Alida,1,7
