indicator_name,indicator_bin,applicability
"13. Coral distribution, density and size structure by species at selected monitoring sites within the MPA",Uniqueness; Species Diversity; Functional Diversity; Key Fish Habitat; Biomass Metrics,offshore
14. Coral diversity at selected monitoring sites within the MPA,Species Diversity; Functional Diversity,offshore
"15. Proportions of live and dead corals, by species, at selected monitoring sites within the MPA",Species Diversity; Functional Diversity; Threats to Habitat,offshore
16. Proportion of live corals at selected monitoring sites within the MPA that show zooanthid over-growths and the extent of over-growth in any affected colonies,Threats to Habitat,offshore
"17. Relative abundances, size distributions and diversity of selected groundfish and trawl-vulnerable invertebrates in Zone 3 of the MPA", Species Diversity; Functional Diversity; Biomass Metrics,offshore
"18. Relative abundances, size distributions and diversity of selected longline-vulnerable species in Zones 2 and 3 of the MPA", Species Diversity; Functional Diversity; Biomass Metrics,offshore
"19. Relative abundances, size distributions and diversity of selected trap-vulnerable species in Zones 1 and 2 of the MPA", Species Diversity; Functional Diversity; Biomass Metrics,all
"20. Relative abundances, size distributions and diversity of selected mesopelagic nektonic species in Zones 1 and 2 of the MPA", Species Diversity; Functional Diversity; Biomass Metrics,all
"21. Temperature, salinity, oxygen concentration, alkalinity, pH, light levels, chlorophyll, pigments and nutrients in the watercolumn within the MPA, including in close proximity to the seabed",Environmental Representativity,all
"22. Temperature, salinity, oxygen concentration, light levels, chlorophyll, pigments and nutrients in waters flowing into and past the MPA, as measured on the Louisbourg Line, the Halifax Line and the Extended Halifax Line",Environmental Representativity,all
"23. Physical (temperature, salinity, wind, sea-surface height) and biological (ocean colour) sea surface properties in the MPA and the surrounding region",Environmental Representativity; Connectivity,all
"24. Weather conditions at the Sable Island weather station and at the Banquereau and Laurentian Fan weather-buoy sites, including wind direction and speed, air pressure and sea-level air temperatures, plus for the buoy sites sea surface temperatures, wave height and dominant wave period",Environmental Representativity,all
25. Three-dimensional distribution and movements of watermasses within and around the MPA,Environmental Representativity; Connectivity,all
"26. Phytoplankton production, community composition and the timing of the spring bloom in the MPA and the surrounding region",Structure and Function; Biomass Metrics; Species Diversity; Functional Diversity; Environmental Representativity,all
"27. Zooplankton biomass, community composition and the biomass of selected species within the MPA",Structure and Function; Biomass Metrics; Species Diversity; Functional Diversity,all
28. Acoustic scattering in the watercolumn within the MPA,Biomass Metrics,all
29. Distribution and abundance of seabird species within the MPA,Species Diversity; Functional Diversity; Structure and Function,all
"Total biomass/abundance and spatial distribution of key
species in each trophic level",Biomass Metrics; Structure and Function,all
"Number of species per trophic level within each habitat type
",Species Diversity; Functional Diversity,all
Number of species at risk within the MPA (by each habitat type if required),Species Diversity,all
"Total area and location of each habitat type within the estuary, and the proportion and frequency that is disturbed or lost",Environmental Representativity; Threats to Habitat,all
"Hydrodynamic and sediment regime within the estuary (e.g., sediment infilling)",Environmental Representativity; Connectivity,all
Temperature and salinity within the estuary,Environmental Representativity,all
Nutrient concentrations within the estuary,Environmental Representativity; Threats to Habitat,all
"Commercial and recreational fishing catch per unit effort
(CPUE)",Biomass Metrics,all
By-catch number per impacted species,Biomass Metrics; Threats to Habitat,all
Number of non-indigenous species in the MPA (within each habitat type if required) relative to non-indigenous species in region,Threats to Habitat; Threats to Productivity,all
Degree of human induced habitat perturbation or loss,Threats to Habitat,all
Contaminant concentrations within the estuary,Threats to Habitat; Threats to Productivity,all
Recovery potential,Threats to Habitat; Threats to Productivity,all
Number of haddock,Biomass Metrics; Uniqueness,webca
